index,name,region,diet,engineVersion,engineSource,status,engineQA,engineHardCount,engineWarnCount,extraHardCount,extraWarnCount,hard,warn,warningKeys,days,targetDays,mainCounts,proteinTotals
78,Gate scenario 78 UK mode 13,UK,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""chicken"":4,""fish"":4,""eggs"":3}","[113,106,101,115,92,106,115]"
79,Gate scenario 79 AU mode 14,AU,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,3,0,0,,Day 5: dairy snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: chicken snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""chicken"":4,""beef"":4,""eggs"":3}","[90,92,101,94,103,98,116]"
80,Gate scenario 80 CA mode 15,CA,vegetarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""eggs"":3,""lentils"":3,""chickpeas"":3,""beans"":3}","[94,80,90,91,82,96,90]"
81,Gate scenario 81 US mode 0,US,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[95,108,105,113,116,109,98]"
82,Gate scenario 82 SA mode 1,SA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""beef"":3,""pork"":2,""eggs"":3,""fish"":3}","[95,105,105,98,116,102,91]"
83,Gate scenario 83 UK mode 2,UK,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,3,0,0,,Day 5: dairy snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: chicken snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""chicken"":4,""beef"":4,""eggs"":3}","[90,92,101,94,103,98,116]"
84,Gate scenario 84 AU mode 3,AU,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""beef"":3,""pork"":2,""eggs"":3,""fish"":3}","[91,103,98,100,99,99,95]"
85,Gate scenario 85 CA mode 4,CA,pescatarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,1,0,2,,Day 6: eggs snack repeats lunch/dinner protein. | fish appears 5 times in narrow plan | eggs appears 5 times in narrow plan,narrow_fish_5|narrow_eggs_5,7,7,"{""dairy"":4,""fish"":5,""eggs"":5}","[97,104,88,104,101,93,106]"
86,Gate scenario 86 US mode 5,US,vegetarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,4,"{""dairy"":2,""eggs"":2,""chickpeas"":2,""beans"":2,""lentils"":3,""tofu"":3}","[72,69,88,75,93,82,86]"
87,Gate scenario 87 SA mode 6,SA,vegetarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""tofu"":3,""chickpeas"":3,""beans"":3,""lentils"":3}","[101,92,104,91,96,82,104]"
88,Gate scenario 88 UK mode 7,UK,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,5,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[79,85,78,86,87,86,82]"
89,Gate scenario 89 AU mode 8,AU,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""chicken"":4,""fish"":4,""eggs"":3}","[113,106,101,115,92,106,115]"
90,Gate scenario 90 CA mode 9,CA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,1,0,1,,Day 4: dairy snack repeats lunch/dinner protein. | pork appears often across lunch/dinner count 4,main_pork_often,7,7,"{""dairy"":3,""beef"":3,""eggs"":4,""pork"":4}","[99,101,102,114,92,105,97]"
91,Gate scenario 91 US mode 10,US,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""chicken"":4,""fish"":4,""beef"":3}","[106,116,110,117,115,113,117]"
92,Gate scenario 92 SA mode 11,SA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""eggs"":3,""chicken"":4,""beef"":4,""fish"":3}","[100,109,109,104,106,104,113]"
93,Gate scenario 93 UK mode 12,UK,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,106,98,102,112,99,102]"
94,Gate scenario 94 AU mode 13,AU,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""chicken"":4,""fish"":4,""eggs"":3}","[113,106,101,115,92,106,115]"
95,Gate scenario 95 CA mode 14,CA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,3,0,0,,Day 5: dairy snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: chicken snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""chicken"":4,""beef"":4,""eggs"":3}","[90,92,101,94,103,98,116]"
96,Gate scenario 96 US mode 15,US,vegetarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""eggs"":3,""lentils"":3,""chickpeas"":3,""beans"":3}","[94,80,90,91,82,96,90]"
97,Gate scenario 97 SA mode 0,SA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[95,108,105,113,116,109,98]"
98,Gate scenario 98 UK mode 1,UK,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""beef"":3,""pork"":2,""eggs"":3,""fish"":3}","[95,105,105,98,116,102,91]"
99,Gate scenario 99 AU mode 2,AU,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,3,0,0,,Day 5: dairy snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: chicken snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""chicken"":4,""beef"":4,""eggs"":3}","[90,92,101,94,103,98,116]"
100,Gate scenario 100 CA mode 3,CA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""beef"":3,""pork"":2,""eggs"":3,""fish"":3}","[91,103,98,100,99,99,95]"
